image_id,ground_truth_gender,detected_gender,gt_captions,generated_text
538092,Male,Male,"['A man standing in a kitchen while closing a cupboard door.', 'A man standing in kitchen surrounded by items.', 'A kitchen area with a cooler and container stacked on the floor and a man getting an item out of a cabinet.', 'A man holding a cabinet in a kitchen.', 'a man stocking up his kitchen with groceries']",Two men in a kitchen with a refrigerator and a sink.
455384,Male,None,"['A delivery truck with an advertisement for Entourage.', 'A large van features an ad for a television show.', 'A truck with an ad for a television show painted on its side', ""A large delivery truck with an advertisement painted on it's side."", 'An entourage decorated van is parked on the side of the road.  ']",A large blue and white bus with a painting on the side.
482917,Male,Male,"['A dog sitting between its masters feet on a footstool watching tv\n', 'A dog between the feet of a person looking at a TV.', 'A dog and a person are watching television together.', 'A person is sitting with their dog watching tv.', 'A man relaxing at home, watching television with his dog.']",A black and white dog sitting on a man's lap.
475593,Female,Female,"['Women father around a desk and machinery in a factory.', 'A photo set of two women at work', 'Women working in a commercial bakery or kitchen.', 'Two old photos with women in a kitchen.', 'two women in white work at an industrial kitchen counter and stove']",Two women in a large industrial sized kitchen.
534605,Male,Male,"['Man in motorcycle leathers standing in front of a group of bikes', 'Bikers, dressed in their gear, standing near their motorcycles.', 'A group of men stand next to their bicycles.', 'Three men standing around their motorcycles in a parking lot.', 'Group of three motorcyclists standing in front of their motorcycles.']",A man sitting on a motorcycle next to a building.
342387,Male,Neut,"['A group of people preparing food in a kitchen.', 'Group of people all sorting vegetables in a line.', 'Six different people in aprons and hats preparing vegetables', 'A group of people are in a line working on green vegetables.', 'A team of chefs work together to prepare a meal.']",A group of people in a kitchen with lettuce and tomato.
486194,Female,Female,"['Young woman carrying an opened umbrella in a city neighborhood.', 'A woman walking while holding up a red umbrella ', 'A beautiful young lady walking in the rain while holding an umbrella.', 'A woman holding a red umbrella traveling down a sidewalk.', 'A young woman is carrying a red umbrella.']",A woman with a red umbrella is walking down the street.
236148,Male,Male,"[""An older man backing up a truck with a bicycle in it's flat bed."", 'A man looking out the back window of his truck.', 'A man sits in the drivers seat of a truck.', 'A man in a truck looks out his rear window.', 'A man in a truck looking behind him.']",A man in a car with a brown bear on the hood.
115930,Male,Male,"['A group of men standing in front of a bar having a conversation.', 'Restaurant staff taking a break near the bar.', 'Several men having a conversation at a restaurant.', 'Three workers at a restaurant visiting with each other and customers.', 'Three chefs talking to each other at a bar.']",Three men in a kitchen with a wine glass.
561256,Female,Male,"['A woman wearing a hat & pink top takes a selfie in front of a bathroom mirror.', 'A woman in a flowered dress taking a selfie in a bathroom mirror.', 'An older woman in a flower dress takes a self photo in the mirror.', 'A woman in a yellow bathroom is holding a camera.', 'A woman taking a picture of herself in a bathroom.']",A man in a bathroom taking a picture of himself in the mirror.
412151,Male,Male,"['A bicycle store shows two males leaning toward a bike.', 'A man adjust a bicycle in a bike shop with a child.', 'The bike shop employee is helping a customer. ', 'A man and a boy are talking about a bicycle in a store.', 'Two people in a shop looking at a bike.']",A man sitting on a bike in a shop.
427091,Male,None,"['City traffic and pedestrians are headed in multiple directions on the street.', 'A city street busy with many cars driving as well as pedestrians', 'People in a city cross in front of traffic. ', 'Traffic in New York City during the day. ', 'Cars stopped on a busy street while pedestrians cross.']",A taxi cab is driving down a busy city street.
263664,Male,None,"['A couple on a motorcycle in front of a bus and a metermaid car', 'A busy city street with a bus, taxi, and motorcycle.', 'A bus, riksha, and two men on a scooter all on the same road. ', 'Buses and motorcycles driving down a city street.', 'Two people riding on a moped with a bus in the next lane.']",A bus traveling down a street next to a  forest.
156324,Female,Female,"['A woman takes a selfie in front of a bathroom mirror.', 'Woman taking picture of self in bathroom mirror.', 'A women is taking a picture of herself and her bathroom in the bathroom mirror.', 'A woman is taking a picture of herself in a bathroom mirror.', 'A woman stands in front of the mirror to take a picture.']",A woman taking a picture of herself in a bathroom mirror.
508605,Male,Neut,"['Boy rides skateboard and does trick over stairs.', 'Man in air on skateboard at night by light of street lamps.', 'Skateboarder does airborne trick in front of concrete steps.', 'A skateboarder jumping over the set of steps. ', 'A person is doing a skateboarding trick on the stairs of a public plaza.']",A person jumping in the air on a skateboard.
450308,Male,Male,"['A man stands with his bike in ankle deep water in a flooded city.', 'A man on a bike in a street that is flooded.', 'A man on a bicycle stands in flooding waters.', 'A man in shorts sits on his bike, surrounded by flood water up to his calf. ', 'A boy sits on a bicycle in a flooded street.']",A man riding a bike through a flooded street.
408364,Male,None,"[""A young man standing next to a race car with the red sox logo on it's hood."", 'A young boy standing in front of a sponsored car.', 'A man standing near a red sox nascar', 'A young boy  standing by a Red Sox car wearing Red Sox shirt and visor', 'A young man standing next to a racecar on a display lot.']",A small red car with a picture of a dog on it.
267862,Male,Neut,"['A guy sitting on his motorcycle while a woman stands beside him', 'A gang of bikers sitting on top of motorcycles on a sidewalk.', 'Three motorcyclists and their bikes stand on the pavement.', 'Several people around some motorcycles on the side of a road.', 'a man and woman leaning against a motorcycle']",A group of people sitting on a motorcycle in front of a building.
36450,Female,None,"['A very big teddy bear is next to a woman.', 'A smiling woman at work with a life size teddy bear', 'An associate holding a big teddy bear at an office.', 'A woman in an office with a large teddy bear.', 'A giant teddy bear sitting on an office chair.']",A large teddy bear sitting on top of a desk.
363272,Male,Male,"['A man sitting on a stone block talking on a cell phone.', 'A man sitting on a concrete pedestal talking on the phone.', 'A man sitting on a concrete post, talking on a cell phone.', 'A man sitting on a post talking on a cell phone.', 'A man sitting on a pillar talking on the phone']",A man sitting on a bench while talking on a cell phone.
158466,Male,Male,"['A young man jumping up into the air to catch a Frisbee.', 'someone jumping up to get a frisbee out of a tree', 'A male getting an object out of a tree.', 'A man jumping in the air and catching a frisbee.', 'A man catching a frisbee in the front yard.']",A man flying through the air while holding a frisbee.
317639,Female,Female,"['A woman is taking a picture of herself in a bathroom mirror.', 'A double sinked bathroom has circular twig wreaths hanging above.', 'The two wreaths were each hung above a sink.', 'A woman taking a selfie in a bathroom with a digital camera.', 'Two wreaths above two sinks in a bathroom']",Two women in a bathroom with two sinks.
393569,Female,Neut,"['A young woman using a laptop computer while sitting on a bunk bed.', 'A person that is sitting in a bed facing out.', 'A young girl sits in the bottom bunk of her bunkbed.', 'A bedroom with bunk beds and the bathroom next door.', 'Three people live in one room who share a bathroom.']",A person in a bathroom with a window.
477016,Female,Neut,"['A young child stands in the kitchen with an adult.', 'A girl observes a life size toy kitchen.', 'A child standing in front of a toy dishwasher.', 'A child standing in front of a fake appliance. ', 'A child and adult are in a play kitchen.']",Two young children look at a mirror in a restaurant.
172710,Female,Male,"['A woman kisses a man as they sit on a motorcycle.', 'Two women riding a motorcycle at night holding a shopping bag.', 'A couple riding a motorcycle with bags in hand.', 'A girl on a motorcycle holding a DSW bag and kissing a guy who is driving the bike.', 'A man and woman are riding a motorcycle and the woman is carrying a DSW bag.']",A man sitting on a motorcycle on a highway.
214274,Male,Both,"['A man and a woman cook in the kitchen.', 'A married couple preparing food in a house kitchen.', 'A couple of people that are in a kitchen cooking some food.', 'A man and woman in the kitchen preparing food.', 'A man and woman cooking together in the kitchen.']",A man and woman in the kitchen preparing food.
492937,Male,None,"['A close up of a bike brake on a bicycle.', 'A bicycle is chained up to a pole at a train station.', 'a vintage photo of a bike eith a lock on it', 'A close up of a bicycle  parked on a train platform.', 'The bicycle is locked to the metal pole as the young man waits to board the mass  transit train.']",A close up of a black and white photo of a bicycle.
117425,Male,Neut,"['A toddler celebrates his birthday with a cupcake.', 'A young boy with a spoon looking at a birthday cupcake.', 'A baby holding a spoon looking at a cupcake and candle.', 'A child holds a spoon and looks at a cupcake.', 'a young child looking at a birthday cupcake']",A baby is looking at a chocolate frosted cupcake.
124766,Male,Male,"['A man wearing a blue bow tie and a fedora hat in a car. ', 'A man takes a photo of himself wearing a bowtie and hat', 'A man with a bow tie sits in a car with a hat on his head.', 'a man in a gray and blur hat with a blue shirt and bowtie', 'A man wearing a blue shirt, bow tie and a fedora hat.']",A man wearing a hat and a tie.
43098,Male,Female,"['A man is walking down the street in front of a red door.', 'A man walking on the sidewalk next to a suitcase leaning against a lamp.', 'A man walking down the sidewalk, and a blue briefcase in front of a post.', 'A blue suitcase is leaning against a post on the street while a man walks by.', 'A man walking past a suitcase and street lamp']",A woman leaning against a door with a blue suitcase.
373193,Female,Male,"['A girl is sitting by her dog on the stairs.', 'A person and dog sitting outside a building with a table, toilet bowl and ladder against the building.', 'The woman looks at her dog as the dog watches something in the distance.  ', 'A woman sitiing on the top step in front of a door.', 'Woman seated on steps with dog next to toilet and ladder.']",A man sitting on a toilet next to a dog.
349590,Female,Male,"['Women taking picture of themselves while brushing their teeth.', 'A nerdy woman brushing her teeth with a friend nearby.', 'two ladies in a bathroom brushing their teeth one lady holds a digital camera.', 'Two women in the bathroom brushing their teeth.', 'A person holds a digital camera in front of a seated woman brushing her teeth, while another woman also brushes in the background.']",A man brushing his teeth with a blue toothbrush.
177934,Female,Neut,"['A group of women operating a car wash.', 'Young women washing motor cycles in the middle of a street.', 'Two young women are washing two motorcycles with hoses..', 'Girls wash a motorcycle while men look on.', 'A group of people standing near the motorcycles on the street. ']",A group of people standing around a motorcycle.
369763,Male,None,"['A polie officer standing next to a  motorcycle parked on the street.', 'A scene depicting a man sitting down on a curb and a motor cop writing a ticket', 'A man and police officer on the sidewalk next to a motorcycle.', 'A man sitting on a curb with a police officer behind him. ', 'A motorcycle police officer is writing a ticket.']",A white motorcycle parked in front of a white tent.
322604,Female,None,"['A motorcycle rally on the street with many spectators.', 'Gay and lesbian community members riding motorcycles down the street during a gay pride parade.', 'People on motorcycles riding in the street in a parade.', 'Ladies riding down the street on motorcycles as others look on.', 'a gay parade with some lesbians on motorcycles']",A motorcycle with a rainbow flag on the back.
262594,Male,Neut,"['People standing on a roadway next to a vintage motorcycle.', 'A small group of people standing around a small motor bike.', 'A man standing next to a motorcycle on asphalt.', 'A person holding upright an older motorcycle that looks to be retrofitted.', 'A person standing beside a unique moped on a street.']",A vintage motorcycle with a side car and a crowd of people behind it.
525667,Female,Neut,"['People standing around a park bench next to a bicycle.', 'A group of women are describing a new setup for a building plan', 'a group of people in a field of grass near a building', 'Several people standing in an area with picnic tables looking at a board.', 'A woman giving a presentation in a park.']",A group of people on a bike with a map.
5879,Male,Neut,"['Two bicycle riders riding in the city at night.', 'Two people riding their bikes in the street.', 'Two people riding bikes alongside a bus on a city street.', 'Police officers riding bikes in the city at night.', 'A couple bicyclers ride on the street at night.']",A couple of people on a city street.
90732,Female,Female,"['A little girl is mixing in a  kitchen bowl while standing on a chair.', 'A young girl dressed in pink standing on a chair stirring a bowl.', 'A girl in a kitchen on a booster stool washing dishes.', 'A young child standing on a chair mixing in a bowl', 'A little girl standing on a chair mixing something in a bowl.']",A little girl is washing her hands in the bathroom.
301574,Male,None,"['three motor cycle racers posing on their parked bikes', 'Three people on red motorcycles stopped and showing off.', 'Three red motorcycles with riders in protective gear are on the street.', 'Three drivers wearing helmets sitting on their motorcycles.', 'A group of dirt bike racers in a  row']",A row of motorcycles parked next to each other.
364113,Female,Neut,"['Two people riding different colored horses down a dirty road.', 'Two people riding horses along  a trail', 'Two people riding horses along a scenic trail.', 'A woman in orange and a woman in pink riding horses. ', 'Two helmeted riders proceed down a dirt path on horseback.']",A group of people riding on the backs of horses.
494629,Male,Male,"['A man sits on a toilet while working on his computer at his desk.', 'A man sitting on a toilet in front of the computer.', 'A man sitting on a chair in front of a computer. ', 'a person sitting on a toilet while operating a computer', 'A man sitting on a toilet in front of a large computer monitor.']",A man sitting on a white toilet in a room.
146961,Male,Male,"['A man is cooking in a crowded kitchen.', 'A man cooking in the kitchen in front of the stove. ', 'A man standing in a kitchen preparing food.', 'A man in the kitchen preparing food for dinner ', 'Man preparing dinner in the kitchen with under cabinet lights on.']",Two men in a kitchen with a stove and a sink.
20788,Female,Female,"['A woman hovering over food on a wooden table.', 'an older Asian woman fixing food on a table', 'A lady is preparing a table with dishes of food.', 'A woman standing over a table of food. ', 'A woman puts the finishing touches on several plates of food. ']",Two women in a kitchen preparing food on a tray.
228214,Male,Male,"['A Marine that is looking at his cell phone.', 'A marine in uniform using a smart phone.', 'A full dressed marine is looking at his cell phone.', 'A man in uniform is looking at his phone.', 'A service man is looking at his cel phone.']",A man in uniform is looking at his cell phone.
424378,Male,Male,"['A man with glasses riding in a car with an adorable dog in the backseat.', 'A man driving with his dog in the back seat.', 'A man driving  a car with his dog in the back seat.', 'A man driving with his dog in the backseat', 'A man is driving with his dog in the back seat. ']",A man in a car with a dog in the passenger seat.
400456,Female,Male,"['A man riding on the back of a brown horse in front of a truck.', 'A woman riding a horse in front of a car next to a fence. ', 'The woman rides on a horse walks in front of the car.', 'Lady on horse in front of barbed wire fence', 'A woman riding a horse in front of a fence with razor wire']",A man sitting on a horse on a city street.
554625,Male,Neut,"['a boy wearing headphones using one computer in a long row of computers', 'A little boy with earphones on listening to something.', 'A group of people sitting at desk using computers.', 'Children sitting at computer stations on a long table.', 'A small child wearing headphones plays on the computer.']",A group of children's computer screens with one child on each.
521906,Male,Male,"['A man wearing a striped suit standing next to butcher knives.', 'A man in the kitchen putting a bottle in his blazer pocket.', 'A man putting a bottle in his jacket in the kitchen. ', 'A man is putting something in his jacket by knives.', 'A man putting something in his pinstripe jacket by knives.']",A man in a kitchen with a knife in his hand.
353982,Female,Male,"['A woman sitting at a table while holding a pair of scissors.', 'A woman smiles and holds up a pair of scissors.', 'A woman sitting at a table holding up a pair of scissors.', 'A woman holds a pair of scissors at a table.', 'A happy woman holding a pair of new scissors.']",A man in a uniform is holding a pair of scissors.
391375,Female,Female,"['A girl sitting on a bench in front of a stone wall.', 'A woman in black sits on a park bench. ', 'A woman sitting on a bench in a stone alcove. ', 'A young woman in black spotted tights is sitting on a bench.', 'A beautiful woman sitting on a bench next to a stone building.']",A woman sitting on a bench with a book in front of her.
448151,Male,Male,"['A birthday boy with car shaped cake and candles on it.', 'A little boy standing next to a car shaped cake.', 'A small boy next to a table upon which sits a birthday cake shaped like a racecar.', 'A boy sitting next to a race car cake.', 'A little boy posing with a race car shaped birthday cake.']",A young boy sitting next to a purple cake.
411564,Male,Neut,"['A man sitting in a window ledge with a cell phone in his hand.', 'A young man holding a phone perches in a sunny kitchen window sill.', 'A man in a skullcap sits on a window sill.', 'a male is sitting by a window looking at his cellphone', 'A person sitting in a kitchen window looking directly into the camera. ', 'a man sitting in a kitchen winow holding onto a phone']",A person sitting on a window sill in a room.
438258,Female,Female,"['A little girl in ponytails holding on to a teddy bear.', 'A pretty young girl smiles at the camera as she poses with her teddy bear.', 'A small girl with blue eyes hugs a Teddy bear.', 'a small girl and her teddy bear wearing a tshirt', 'A girl with pigtails holding a teddy bear wearing a shirt. ', 'a young girl holding onto a teddy bear that wears a shirt']",A little girl with a teddy bear in her lap.
401411,Male,None,"['A chef in a kitchen preparing a meal.', 'A cook stands at the counter with a cutting board and salad tongs in front of him.', 'Chef talking to people seated at a bar in kitchen with various food items.', 'A man in a kitchen preparing food with people sitting at the counter.', 'A cook doing a demonstration of something in front of other people.']",A chef in a yellow coat preparing a dish.
237428,Female,Male,"['A blonde woman sitting on a park bench next to a green bike.', 'a woman sitting on a bench next to her bike\n', 'A woman sitting on a bench and a bicycle leaning against the bench.', 'A woman sitting on a bench next to a bicycle,', 'A woman sitting on a bench next to her bike.']",A man sitting on a bench next to a bicycle.
5802,Male,Male,"['Two men wearing aprons working in a commercial-style kitchen.', 'Chefs preparing food in a professional metallic style kitchen.', 'Two people standing around in a large kitchen.', 'A commercial kitchen with two men working to prepare several plates.', 'two men in white shirts in a large steel kitchen']",Two men in a kitchen with white cabinets.
140307,Male,Neut,"['A group of people sitting around a table under an umbrella.', 'Six men sitting at an outdoor table of a restaurant near a shoreline.', 'Diners at an outdoor patio table at a restaurant beside a city street.', 'A group of people sitting around a table eating underneath an umbrella.', 'A group of people sitting at a table on a nice day. ']",A group of people sitting under a white umbrella.
332653,Male,Male,"['A man stands next to a motorbike on some pavement.', 'A man standing in front of a motorcycle on a driveway.', 'A man poses next to his motorcycle in a vintage picture.', 'A man is posing with his motorcycle in the driveway.', 'A man standing outside next to a motorcycle.']",A man standing next to a motorcycle in a  parking lot.
262514,Female,None,"['A display of a toilet and sink in a store. ', 'Toilet and sink on display in a furniture store', 'A toilet with a sink on the back is displayed.', 'A store filled with bathroom equipment and accessories.', 'a white toilet with a brown lid and a sink behind it']",A white toilet sitting next to a white table.
528729,Male,Male,"['A man talking on a cell phone walking an orange bike across a street.', 'A man walking across a street dragging a bike.', 'The man is walking a bicycle while talking on a cell phone. ', 'A man crossing the street with a bike while talking on a mobile phone.', 'A man on a cell phone walking across he street with his orange bike. ']",A man on a cell phone on a street.
383777,Male,Male,"['A man in hipster clothes straddling a bicycle on the sidewalk.', 'A man with a hat standing with his bicycle.', 'Man stands up on his bike and looks up next to a parked car. ', 'a man is posing for a photo holding his bike in hand.', 'A man standing on a bicycle with a smile.']",A man in a red hat and a red tie is on a bicycle.
211491,Female,Female,"['An older woman sits in a sweater at the beach.', 'A person wearing sun glasses and blue jeans sitting on a rock by the ocean.', 'A woman is sitting on the beach. ', 'A lady near some rocks during the daytime looking at the camera.', 'An older woman sitting on a drift log at a beach.']",A woman sitting on a bench in front of a mountain.
160345,Male,Neut,"['A man is sitting on a bench reading a book.', 'A man sitting on a park bench reading a book.', 'A man sitting by himself reading a book on a bench. ', 'A man sitting on a bench outside reading a book.', 'A man sitting on a bench in the shade reading a book.']",A person sitting on a bench in front of a building.
307993,Male,Male,"['a man is reading a book in a car with a small dog', 'they young man is sitting in his car with his pet dog and studying from a textbook.', 'Man reading a book in his car with a small Yorkie. ', 'A man sleeping in the passenger seat of a car with a dog in his lap.', 'A man is sitting in a car holding a dog and reading a book.']",A man sitting in a car with a dog in his lap.
208169,Male,Neut,"['A large number of people riding motorcycles down the road.', 'A lot of motorcycles and riders in formation riding down the street.', 'A group of motorcycle riders going through the street. ', 'Large number of motorcycles riding down a city street.', 'A large group of motorcyclists are driving down a wide road.']",A large group of people riding on motor cycles.
523953,Male,Neut,"['A young boy stands next to a row of parked motorcycles.', 'A boy stands next to some motorcycles while adults ride down the street behind him.', 'A boy stands among a row of red mopeds.', 'A kid standing next to a motor scooter with a crowd of people walking by.', 'A young boy stands in the middle of a pack of motorbikes.']",A crowd of people standing around a bunch of motorcycles.
173008,Male,Male,"['A man in a tropical print shirt with glasses and long hair is eating a banana.', 'A man wearing a Hawaiian shirt eats a banana instead of pastries.', 'Man taking a bite of a half peeled banana. ', 'a person eating a banana in a kitchen', 'A man eating a banana at a kitchen counter.']",A man in a kitchen with a wine glass.
391837,Male,Male,"['A man sitting on a motorcycle posing in front of a bay. ', 'A man poses on his motorcycle in front of the Golden Gate bridge.', 'Man sits on his parked motorcycle with body of water and bridge behind him. ', 'A man sitting on a motorcycle with a large body of water and mountains behind him', 'A man in posing with a motorcycle in front of a bay']",A man sitting on a motorcycle in front of a wall of papyrellas.
118965,Male,Male,"['A man sitting on his skateboard in a field.', 'A young man with frizzy hair sits on a skateboard.', 'The young man is sitting on his skateboard in the middle of the field with a pensive expression.', 'A boy sitting on a skateboard in a field.', 'A young man with an afro sitting on a skateboard in a dirt field.']",A man sitting on a skateboard in a field.
190829,Male,Male,"['Separate men sitting on park benches playing on phone and reading.', 'Two men sit on park benches in a city street scene.', 'A park offers fresh air and a place to perch while reading or interacting with a phone. ', 'Two men, one reading, one on his phone, sit on park benches near a flower bed.', 'Two men sitting on separate city benches at a park.']",A man sitting on a bench with a cell phone.
482187,Male,Male,"['a group of men staring at a cellphone image', 'Three men sitting at a table looking at a cell phone.', ""Several men looking at phone in one's hand."", 'A man is showing his friend something on his phone. ', 'three men around a table looking at an object.']",A group of men sitting around a table with cell phones.
288584,Male,Neut,"['A person dressed as a giraffe carrying a bullhorn.', 'A group of people collect around a giraffe head. ', 'A person in a giraffe costume in a crowd of people.', 'Somebody wearing a giraffe costume greets people at a park.', 'A person with a giraffe costume greets people coming through the gate.']",A giraffe standing in a crowd of people.
56205,Male,Male,"['A person sits next to their bike while birds walk nearby.', 'A man sits on a curb with his bicycle', 'A black and whit photo of a woman sitting hear her bike.', 'a person sitting next to a bicycle while watching pigeons on a sidewalk.', 'a person sitting on a ledge with a bike near by']",A man sitting on a bench next to a  potted plant.
309071,Male,Male,"['A man bending down next to a bicycle.', 'A man cleaning the parts of his bicycle.', 'A man checks his bicycle for damage before riding it.', 'An elderly man tending to his bicycle repairs.', 'A man checking his bicycle petal wearing flip flops.']",A man standing next to a bicycle on the side of the road.
143582,Male,Neut,"['a person riding a motorcycle on a race track', 'A man riding a motorcycle on a race tracks.', 'A BIKE RACER TAKING A SHARP TURN IN A RACE.', 'Motorcycle racer leaning low coming out of a turn.', 'Rider leaning close to the ground on a motorcycle. ']",A person on a motorcycle on a race track.
226408,Female,Neut,"['Child laying down with arms extended in the air.', 'Black and white photograph of a girl on a bed.', 'an image of a girl playing with a doll', 'A blurry black an white image of a girl laying down.', 'A girl lying down and smiling and feeling happy.']",A blurry picture of a person laying on a couch.
447787,Female,Male,"['A lady holding up a pot roast while posing for a photo.', 'A woman holding a pan of various vegetables.', 'a person posing for a photo holding a container of food', 'A woman holding oven mits is holding a dish of meat and vegetables.', 'A woman holds a dish with food in it.']",A man sitting at a table with a plate of food.
360434,Male,Female,"['a man in red and plack sleeping on a park bench', 'A man in a red shirt and black pants resting on a bench. ', 'a person laying on a bench in front of a fence', 'Person dressed in black with red shirt laying on a bench.', 'A MAN LAYING DOWN ON A PARK BENCH WITH A FENCE AND STATUE IN THE BACKGROUND ']",A woman sitting on a bench in front of a wall.
73009,Male,Neut,"['a man sits on a toilet in a bathroom.', 'A man sits on a toilet while looking at porn magazines.', 'A person sits on the toilet in a bathroom reading a magazine.', 'A fat ass sitting on a toilet with lady magazines.  ', 'A man is caught holding a dirty magazine while on a toilet near a sink in a restroom, with a second magazine lies on the floor beside him.']",A person sitting on a toilet in a bathroom.
298784,Male,Neut,"['A man walking his bike past a wooden boat.', 'A motorboat is towed through a crowd of bicyclists. ', 'Small fishing boat is sitting on a busy city street. ', 'A group of people are standing with bicycles in a crowd.', 'A man not moving on his bicycle in a crowd.']",A white and black boat on street next to people.
159377,Male,Male,"['Two people preparing a meal in a kitchen.', 'A man and a woman standing in a kitchen preparing food.', 'Man and a woman standing inside of a kitchen area. ', 'Two people are preparing a meal in the kitchen.', 'A man and woman standing in a kitchen making food.']",Two men in a kitchen with a refrigerator.
120428,Female,Female,"['A girl with a drink sitting on the toilet.', 'A girl is sitting on the toilet in a bathroom.', 'A woman using the restroom without pants on.', 'this is an image of a woman on the toilet.', 'A lady is sitting on a toilet surrounded by bright pink walls.']",A woman sitting on a toilet with a piece of paper on her face.
64088,Female,Female,"['An older woman walking behind a bus on a city street.', 'an older woman walking in the street and a bus ', 'An older woman in the street has a bus with a face advertisement behind her.', 'Woman crossing a city street behind a commercial bus', 'A woman crossing the street behind a bus.']",A woman is crossing the street in front of a bus.
230008,Male,Male,"['a traffic motorcycle cop waits to give a ticket', 'A police officer on a motorcycle sitting at the corner. ', 'A police officer is outside on his bike.', 'Police officer laying a speed trap for the purpose of writing a ticket.', 'A police man on a motorcycle is idle in front of a bush.']",A man in a safety vest sitting on a blue motorcycle.
258680,Male,Male,"['A man wearing a suit and tie under a brown umbrella.', 'A man wearing many beads is holding an umbrella.', 'A person dressed finely holding a gold umbrella.', 'A man in a suit with a hat holding an umbrella at Mardi Gras', 'A Mardi Gras reveler keeping dry from a sudden shower. ']",A man in a suit and a hat holding an umbrella.
576305,Female,Neut,"['A little girl lies on a wooden bench, eating snacks from a bag.', 'A little girl with a snack laughing on a bench.', 'A small child is laying on a bench with a small open snack bag on its chest.', 'A little girl laying on her side on a wooden bench.', 'A small child lies on a bench, holding a plastic snacks bag.']",A small child is laying on a bench with a bag.
