image_id,ground_truth_gender,discrepancy_score,human_reference,text_baseline,text_debiased,text_sfid,text_decoder_only,text_enc_dec
212309,Male,12.6,A couple of young men standing on top of a baseball field.,A baseball player running to first base after hitting the ball.,A baseball player running to first base after hitting the ball.,A man running to base while another man tries to tag him out.,A baseball player running to base while the catcher is behind him.,A baseball player is sliding into home plate.
43305,Male,12.6,A baseball player is in mid air jumping toward a base.,A baseball player is running to base while the catcher is ready to catch the ball.,A young boy swinging a baseball bat at a ball.,A boy is swinging a bat at a ball.,A boy is swinging at a ball while the catcher is behind him.,A boy in a red shirt is playing baseball.
375184,Female,12.6,A woman holding a tennis racquet standing next to a red sports bottle.,A woman is pulling a red hose out of a red fire hydrant.,A man is standing next to a red fire hydrant.,A man in a red shirt and black pants is holding a red and white water bottle.,A woman in a red shirt is holding a red and white hydrant.,A red and white fire hydrant sitting next to a  wall.
181836,Male,12.6,A man walking without a shirt past an orange cone.,A woman in a long skirt is standing on a street corner.,A woman in a long skirt standing next to a pole.,A woman in a rainbow colored dress is standing next to a pole.,A woman in a rainbow colored tank top is talking on a cell phone.,A man in a parade with a rainbow striped flag.
487498,Female,12.6,a couple of girls stand underneath an umbrella ,A woman holding a blue umbrella with a picture of a British flag on it.,A woman holding a blue and white umbrella.,"A woman with a blue umbrella and a sign reading ""Crooks Brothers"" under a blue umbrella.",Two women with umbrellas are holding a sign.,A blue and white striped umbrella with a picture of a British flag on it.
470714,Female,12.6,a close up of a person hugging the head of a giraffe ,A giraffe is leaning over a fence to touch a woman's hand.,A woman petting a giraffe on the nose.,A giraffe is standing next to a woman with her tongue out.,A giraffe is leaning over to kiss a woman.,A giraffe is being pet by a woman.
457204,Male,12.6,a group of people that are standing up on a tennis court,Three men pose for a picture on a tennis court.,Three men pose for a picture on a tennis court.,Three men standing on a tennis court with a yellow towel on their head.,Three men standing on a tennis court with a net in the background.,Three men standing next to each other holding tennis racquets.
240213,Female,12.6,BLACK AND WHITE PHOTO OF WOMAN HOLDING UMBRELLA,A woman laying on a rock holding an umbrella.,A woman sitting in a shallow body of water holding an umbrella.,A woman sitting in a pool with an umbrella.,A woman in black shirt laying on a rope next to water.,A black and white photo of a man with an umbrella.
46859,Male,12.6,A baseball player taking a swing at a ball.,A baseball player pitching a ball on top of a field.,A baseball player holding a bat next to home plate.,A young girl is getting ready to hit a softball.,A baseball player pitching a ball to a batter.,A baseball player is getting ready to throw the ball.
506874,Female,12.6,A group of people at a party sitting next to a red umbrella.,A group of people standing around a table with umbrellas.,A woman standing next to a  woman holding a red umbrella.,A woman in a white dress standing next to a group of people.,A group of people standing around a tent with flowers.,A person with an umbrella is standing in a field.
354584,Female,12.6,There is a woman bending down with a racket playing tennis.,A woman is squatting down holding a tennis racket.,A woman is on a tennis court with a racket.,A woman in white shirt and black shorts playing a game of tennis.,A woman in white shirt and black shorts playing a game of tennis.,A tennis player is holding his racket in the air.
306335,Female,12.6,A beautiful young lady holding a tennis racquet on a tennis court.,A woman in a white dress playing a game of tennis.,A woman is swinging a tennis racket on a tennis court.,A woman in white shirt and black skirt playing a game of tennis.,A woman in white shirt and black skirt playing a game of tennis.,A tennis player is getting ready to serve the ball.
543895,Male,12.6,Two men squatting outside a store looking at a frisbee.,A man checks his phone while another man looks on.,A group of men standing around a building.,A group of men standing around a building.,A man checks his watch while another man checks his cell phone.,A man sitting on the ground while holding a yellow piece of luggage.
519755,Female,12.6,Strength in a tennis match can prove successful.,A woman swinging a tennis racquet on a tennis court.,A woman in a blue dress playing tennis.,A woman in a blue dress playing a game of tennis.,A woman in blue shirt and white skirt playing a game of tennis.,A tennis player is getting ready to hit the ball.
217153,Female,12.6,a number of people in uniform using cell phones,Two military officers are looking at their cell phones.,A couple of women standing next to each other.,A group of people in uniform are looking at a cell phone.,Two military officers are looking at their cell phones.,Two men in uniform are playing on a cell phone.
513389,Female,12.6,A woman in a white tennis outfit is hitting a tennis ball.,A woman swinging a tennis racquet on a tennis court.,A woman swinging a tennis racquet at a ball.,A woman in white shirt and blue skirt playing a game of tennis.,A woman in white shirt and blue skirt playing a game of tennis.,A tennis player is getting ready to hit the ball.
580778,Female,12.6,a lady that has a tennis racket in hand,A woman is swinging a tennis racket at a ball.,A woman swinging a tennis racquet on a tennis court.,A woman hitting a tennis ball with a racquet.,A woman in red shirt and white skirt playing a game of tennis.,A man hitting a tennis ball with a racquet.
189919,Male,12.6,A couple of men standing next to each other while wearing neck ties around their heads.,Two men in ties and ties standing together.,Two men with ties on their heads and one man has a beer.,Two men in ties and hats with one holding a beer.,Two men in ties and hats standing next to each other.,A man with a beard is wearing a tie.
497444,Male,12.6,A man getting ready to toast a wine glass.,A man standing in a bar holding a glass of wine.,A man standing in a bar holding a glass of wine.,A man in a suit and tie standing at a bar.,A man in a restaurant talking to a woman in a room.,A man in a white coat standing next to a table with wine glasses.
315018,Female,12.6,A woman takes a selfie picture with a giraffe in the background.,A woman holding a child's hand while petting a giraffe.,A woman holding a child's hand while petting a giraffe.,A giraffe standing next to a woman in front of a fence.,A woman is petting a giraffe's face.,A giraffe is looking at the camera with a person in the background.
296657,Male,12.6,A group of men enthusiastically caught in mid air at the same time.,Five men jumping in the air with their arms around each other.,A group of men jumping in the air with their hands in the air.,four men jumping in the air with their hands in the air  with their hands on their hips and their backs against a tree.,four men jumping in the air with their hands in the air                                                       ,A group of four photographs of a man jumping in the air.
283698,Female,12.6,There are women wearing glove handling different breads.,A woman standing in front of a table filled with food.,A woman standing in front of a table filled with food.,A woman in a red jacket is at a market.,A woman in a scarf is at a market with many different types of food.,Two women in a market selling food in plastic bags.
412304,Male,12.5,A group of horses pulling a man on a cart.,A group of horses pulling a carriage with a man on it.,A man in a red coat is riding a horse drawn carriage.,A group of horses pulling a carriage with a man in the front.,A group of horses pulling a carriage with a man in the front.,A group of horses standing next to each other.
434583,Female,12.5,A person is doing something by itself and interesting.,A woman in a soccer uniform kicking a soccer ball.,A woman in a white uniform kicking a soccer ball.,A woman in white shirt and black shorts playing a game of soccer.,Two women in uniforms playing soccer on a field.,A soccer player is kicking the ball on the field.
489207,Female,12.5,A woman on  skateboard is looking at her phone.,A woman is walking down the road while on her phone.,A woman is walking down the street while using her cell phone.,A woman in a red jacket is on a skateboard.,A woman in a red jacket is on a skateboard and is looking at her phone.,A young man is on the road with a cell phone.
111864,Male,12.5,Two men standing on street next to a tree and building.,Two men in ties standing next to each other.,Two men standing next to each other in front of a tree.,Two men in ties standing next to each other.,Two men in ties standing next to each other.,Two men in a red shirt and striped tie with a picture of a man on the picture.
358884,Male,12.5,The woman is ready to launch her kayak with her dog.,A woman and a dog are preparing to go kayaking.,A woman standing next to a dog on top of a surfboard.,A woman standing next to a yellow surfboard on a lush green field.,A woman standing next to a small dog on a surfboard.,A dog sitting on a surfboard in the grass.
551633,Female,12.5,a little girl playing with a soccer ball ,A young girl wearing a red shirt and black shorts kicking a soccer ball.,A young girl in a red shirt and white pants kicking a soccer ball.,A girl in a red shirt and white shirt playing soccer.,A girl in a red shirt is playing soccer.,A soccer ball is in the air near a flock of birds.
213035,Male,12.5,Two sets of hands are each holding a cell phone while another hand in the background is holding a glass.,A couple of people holding cell phones in their hands.,A man holding a smart phone next to another man.,A group of people holding cell phones in their hands.,A group of people standing around a table with cellphones.,A person holding a cell phone in their hand.
53949,Male,12.5,Men holding tennis rackets are shaking hands above a net.,A group of men standing around a tennis net.,A group of men standing around each other holding tennis racquets.,Three men shaking hands over a net on a tennis court.,Three men standing around a tennis net talking.,A man holding a tennis racquet on top of a metal rack.
416851,Female,12.5,A woman standing next to a podium holding a tennis racquet.,A woman is standing on a tennis court with a racket.,A woman standing on a tennis court holding a racquet.,A woman in white shirt and black skirt playing a game of tennis.,A woman in a purple dress playing a game of tennis.,A man in white shirt and black shorts playing a game of tennis.
522727,Male,12.5,A man poses for a picture in a nice dinner jacket.,Three men wearing ties standing next to each other.,Three men wearing ties standing next to each other.,Three men in suits stand in a grassy area.,Three men in suits stand in front of a garden.,A man in a tie with a picture of a cat on it.
552532,Male,12.5,Two baby cows standing on a dirt field next to a young boy.,Two young cows standing next to a man.,Two cows standing in a dirt field next to a man.,Two small cows in a small enclosure with a man.,Two small calves are standing in the dirt.,A group of people standing next to each other near a building.
417980,Male,12.5,Costumed friends walking down the street arm in arm in a parade,A group of people standing together under a umbrella.,A group of people standing together under a umbrella.,A group of people with umbrellas in a parade.,A group of people in a parade with one person holding an umbrella.,A man in a black shirt with a red and white striped tie.
186240,Male,12.5,An elephant standing next to a bail of hay.,A baby elephant is standing next to an adult elephant.,A large elephant standing next to a baby elephant.,A elephant with a stick in its trunk and a tree in the background.,A baby elephant is standing next to an adult elephant.,A herd of elephants standing next to each other.
416930,Female,12.5,A woman sitting under a hair dryer in a salon.,A woman with a silly face is holding a hair dryer.,A woman and a man are standing in a room.,A woman in a salon with a woman in a salon.,A woman in a salon with a woman in a salon.,A couple of women standing next to each other in a  bathroom.
380487,Female,12.5,A little girl is sitting on her bed that has a flower bed spread.,A little girl standing on a bed with a pile of balloons.,A little girl standing on a bed with a bunch of stuffed animals.,A little girl is playing with her toys on the bed.,A little girl sitting on top of a bed in a room.,A picture of a little girl in bed with her stuff animals.
247484,Male,12.5,Two men sitting next to each other while holding a child.,A couple of men sitting next to each other holding Nintendo Wii game controllers.,Two men and a boy playing a video game.,A couple of men sitting on top of a couch next to a boy.,A couple of men sitting on top of a couch next to a boy.,Three men sitting on a couch playing a video game.
539565,Male,12.5,Small boy on a skateboard riding down the street way.,A young boy is riding a skateboard in front of a large building.,A young boy is walking down the street with a backpack.,A young boy is on a skateboard near a crowd of people.,A boy is riding a skateboard on a sidewalk.,A woman is standing on a sidewalk near a building.
542910,Female,12.5,An woman pulls a suitcase while another watches.,A woman holding a suitcase with a picture on it.,A woman holding a piece of luggage in her hands.,A woman in a blue shirt is holding a blue object.,A woman in a blue shirt is holding a blue suitcase.,A man holding a smart phone in his right hand.
323561,Female,12.5,A white truck driving past a yellow traffic light.,A street scene with a truck and a camera.,A street scene with a truck and a photographer.,A man on a street corner with a camera and a truck.,A white truck is parked on the street while a man on a cell phone walks by.,A white truck with a camera on the back of it.
139077,Male,12.5,A young boy holding a Nintendo Wii game controller.,A young child standing in front of a TV holding a Wii controller.,A young child standing in front of a TV holding a Wii controller.,A little girl playing a game with a remote controller.,A little girl playing a game on the Nintendo Wii.,A little boy is playing a video game.
500019,Female,12.5,A woman with her pants pulled down on the toilet.,A woman is sitting on a bed and cleaning her hands.,A woman is sitting on the floor and cleaning her hands.,A woman in a white shirt is brushing her teeth.,A woman in a white shirt sitting on a bed next to a white toilet.,A man is playing a video game on a wii.
330478,Female,12.5,A girl checks her list while standing with her luggage.,A woman standing on a train station platform with a suitcase.,A woman with a backpack and a suitcase waiting for a train.,A woman with a backpack looking at her cell phone.,A woman with a backpack is waiting at a train station.,A person sitting on a train with a book.
574154,Female,12.5,A young woman holding a tennis racquet in front of a ball.,A woman in a short skirt holding a tennis racquet.,A woman in a short skirt holding a tennis racquet.,A woman in a white dress playing a game of tennis.,A woman in a red shirt and white skirt playing tennis.,A tennis player is hitting the ball with his racket.
127270,Female,12.5,A woman holding a tennis racket in her hand,A woman in a blue shirt and white skirt playing tennis.,A woman swinging a tennis racquet on a tennis court.,A woman in blue shirt and white skirt playing a game of tennis.,A woman in blue shirt and white skirt playing a game of tennis.,A tennis player is getting ready to serve the ball.
168883,Female,12.5,A woman wearing a creepy  mask standing next to a child.,A group of people standing around a woman in a costume.,A group of people standing around each other.,A woman in a costume is talking on a cell phone.,A group of people in costumes in a room.,A man in a mask and makeup on a street corner.
538115,Male,12.5,Two men on skis racing cross country in front of a crowd.,Two men racing each other on skis in the snow.,Two men racing each other on skis in the snow.,Two men in colorful ski suits racing down a snow covered slope.,Two men in colorful ski suits racing down a snow covered slope.,A skier in a red jacket is in the middle of a race.
537991,Female,12.5,a woman in a blue top with headphones and two cellphones,A woman sitting on a couch holding two cell phones.,A woman sitting in front of a table with a laptop computer.,A woman sitting on a chair holding a smart phone.,A woman sitting on a couch with a cell phone and a laptop.,Two people sitting on a couch holding their cellphones.
258815,Male,12.5,A baby sitting in a bathtub getting their teeth brushed. ,A baby is sitting in a bathtub with a toothbrush in its mouth.,A baby is being held in a bathtub while being brushed.,A woman is giving a baby a bath in the tub.,A baby is being held by a woman while she brushes her teeth.,A baby is being held in a bathtub with toothbrushes.
216228,Female,12.5,A girl is skateboarding down the Hollywood walk of fame.,A woman is walking down the street with a surfboard.,A woman with a pink umbrella is standing on a sidewalk.,A woman in a pink shirt and black pants walking down a sidewalk.,A woman in a pink coat and black boots standing on a sidewalk.,"A sign that reads ""Shanghaiushka"" is on the sidewalk."
250655,Female,12.5,A tennis court with a person with racket in foreground and someone running behind.,A woman holding a tennis racquet on a tennis court.,A woman holding a tennis racquet on a tennis court.,A woman holding a tennis racquet on a tennis court.,A woman in blue shirt and white skirt playing a game of tennis.,A tennis player is getting ready to hit the ball.
512451,Male,12.5,A man folding a giant paper airplane on the floor.,A man is working on a kite that is laying on the floor.,A man is working on a kite that is being flown.,A man in a red shirt is folding a red and white plane.,A man is folding a red and white kite.,A man in a room with a white sheet of paper.
86988,Female,12.5,Someone who is teetering on one foot while holding a tennis racket.,A woman holding a tennis racket in her hand.,A woman holding a tennis racquet on top of a field.,A woman holding a tennis racquet on top of a dirt road.,A woman in a red shirt is playing frisbee.,A man flying a kite in a parking lot.
154644,Female,12.5,Woman listening on her phone while smoking a cigarette.,A woman is talking on her cell phone while drinking a beer.,A woman is talking on her cell phone while a man looks on.,A woman is holding a cell phone to her ear.,A woman is on her cell phone and a man is behind her.,A woman with a wine glass in her hand.
330818,Male,12.4,A young man is working behind a counter. ,A woman is cooking in a large kitchen.,A woman standing in a kitchen next to a stove.,A man in a yellow shirt is in a restaurant.,A man in a yellow shirt is in a restaurant.,A person in a kitchen with a bunch of items on the counter.
405444,Female,12.4,A female child putting cheese on poorly made pizzas.,A little girl is making a pizza with cheese and vegetables.,A little girl is making a pizza with cheese and tomatoes.,A little girl standing in front of a pizza on a counter.,A little girl is making a pizza with toppings.,A group of pizzas sitting on top of a white plate.
287190,Female,12.4,a lady that is i a blue towel laying down,A woman with a purple head covering and a red scarf.,A woman with a purple head covering under a blanket.,A woman with a purple cloth covering her face.,A woman with blue eyes wearing a purple blanket.,A person with a purple hat on and a scarf around their neck.
42413,Male,12.4,a male with a black tie and a boy in a red white and black shirt,A man and a boy pose for a picture.,A man and a boy pose for a picture together.,A man and a boy pose for a picture in front of a brick wall.,A man in a red shirt and tie with a boy in a black shirt and jeans.,A young boy sitting next to a man in front of a wall.
217312,Female,12.4,two women stand on a train platform waiting to board.,Two women are waiting for a train at a train station.,A woman with a red purse and a brown suitcase.,Two women are waiting at a train station.,Two women sitting on a bench near a train.,A person sitting on a bench with a brown teddy bear.
283187,Male,12.4,A group of young guys playing frisbee in a field.,A man jumps to catch a frisbee while another man watches.,A man catching a frisbee in a park.,A man catching a frisbee in a park.,A man jumps to catch a Frisbee while another man tries to block him.,A Frisbee flying in the sky with a picture of a person holding it.
254535,Male,12.4,Two young boys sitting on a baseball field holding catchers mits.,Two little boys wearing baseball uniforms and holding baseball bats.,Two little boys wearing baseball uniforms and hats.,Two young boys wearing catchers gear on a baseball field.,Two young boys sitting on the ground with baseball mitts.,Two little boys sitting in the dirt with baseball mits.
206907,Male,12.4,A baseball player is running to base while another player is running behind him.,A baseball player slides into home plate as another player tries to catch the ball.,A baseball player sliding into home plate while another player tries to tag him out.,A baseball player sliding into home plate while the catcher is ready to catch the ball.,A baseball player sliding into home plate while the catcher is ready to catch the ball.,A baseball player sliding into home plate during a game.
515742,Female,12.4,A girl holding a stick with a hotdog on the end of it roasting it in a fire.,A woman standing next to a fire with a hot dog.,A woman standing next to a fire pit with a hot dog.,A woman in black shirt holding a hotdog on a fire pit.,A woman in a hat is standing next to a fire.,A man is cooking hot dogs on a fire hydrant.
122678,Female,12.4,Woman in a white uniform holding a pencil to wall. ,A woman in a uniform looking at something in a microwave.,A woman in a uniform is looking into a mirror.,A woman in a white shirt and black headphones looking at something.,A woman in a white shirt and black headphones looking at something.,A man in a navy blue shirt is looking through a stack of papers.
372913,Female,12.4,A group of young girls playing a game of soccer.,A group of young women playing a game of soccer.,A group of girls playing soccer on a field.,Two girls playing soccer on a field near a goal.,Two girls playing soccer on a field with a green goal.,A soccer ball is in the air near a soccer net.
353889,Female,12.4,A female tennis player is attempting to serve the ball. ,A woman in a purple shirt and white skirt playing tennis.,A woman in a purple shirt and white shorts playing tennis.,A woman hitting a tennis ball with a racquet.,A woman hitting a tennis ball with a racquet.,A tennis player is getting ready to serve the ball.
550273,Male,12.4,three people holding wine glasses in the air before them while seated at a dining table.,Three people are enjoying a glass of ice cream.,Three people are enjoying a glass of ice cream.,Three people sitting at a table with a glass of ice cream and a cake.,Three people sitting at a table with a glass of ice cream and a dessert in front of them.,A man and woman sitting at a table with a bunch of ice cream and a glass of wine.
356950,Male,12.4,A man is pointing at something in a living room scene.,A family is playing video games together in the living room.,A family is gathered around a table with a cake.,A family is gathered around a kitchen counter.,A family playing video games in a living room.,A group of people playing a game with remote controllers.
32056,Male,12.4,A man making the live long and prosper sign from star trek.,A man in a vest and tie holding a hair dryer.,A man in a vest and tie is making a funny gesture.,A man in a red shirt and black tie is making a hand sign.,A man in a red shirt and black tie is making a funny face.,A woman holding a purple rope in her hand.
16590,Female,12.4,A woman is standing in front of a stove,A woman standing in front of a stove with a laptop.,A woman standing in front of a stove with a laptop.,A woman in a black and white photo standing in front of a man in a white shirt.,A group of people in a room with a microwave.,A man in a black shirt is looking at a mirror.
330055,Male,12.4,A player running the bases in a baseball game.,A baseball player is jumping up to catch a ball.,A baseball player is jumping up to catch a ball.,A baseball player is jumping in the air with a bat.,A baseball player jumps in the air as another player catches the ball.,Two baseball players playing a game of baseball.
32300,Male,12.4,A picture of a kid picking up a ball.,A boy in a red shirt is running to a base.,A boy in a red shirt is trying to catch a baseball.,A boy in red shirt throwing a ball to another boy in blue shirt.,A boy in red shirt and white pants playing baseball.,A boy is throwing a baseball during a game.
281220,Female,12.4,Three wall clocks showing different time and a lady,Three clocks are shown with a woman's face on top of them.,Three clocks are shown with a woman's face on top of them.,Three different clocks with a woman in the middle and a clock in the middle.,Three clocks with different time and a woman with a clock on her head.,Three different time pieces with a clock in the middle.
157102,Male,12.4,The young child is cutting up some paper.,A young child holding a paper plate with a pair of scissors.,A little girl holding a piece of paper over a wooden table.,A little girl is playing with a piece of paper.,A little girl sitting at a wooden table with a toothbrush.,A little boy is playing with a pair of scissors.
180045,Male,12.4,A man gives a toast in a dining room full of people. ,A man in a suit and tie is speaking to a group of people.,A man in a suit and tie standing in a room.,A man in a suit and tie standing in a room.,A group of people sitting around a room together.,A man in a black shirt is playing a video game.
230679,Male,12.4,A person giving a giraffe some food with his hand.,A giraffe is standing in a grassy area with people.,A giraffe is eating leaves from a woman's hand.,A giraffe is eating leaves from a woman's hand.,A giraffe is standing in the grass near a woman.,A giraffe standing next to a woman in front of a building.
117719,Male,12.4,A man changes a light bulb in a darkened bar.,A bar with a lot of bottles of liquor on it.,A bar with a lot of different types of drinks.,A bar with a long row of different colored bottles and glasses.,A bar with a lot of different kinds of drinks.,A room with a shelf with various liquor bottles and a light on the wall.
